,Centre,SeriesNum,PET/CT,5minPET,Manufacturer,Scanner,Skull,FrameNum,Activity,image_ref_index,DCM_path,Slice Thickness,Rows,Columns,Number of Slices,Pixel Spacing
114,Christie,01,P,True,GE,DSTE8,False,1.0,,61.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame1/,3.27,128,128,47.0,"[1.953125, 1.953125]"
115,Christie,02,P,True,GE,DSTE8,False,2.0,,61.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame2/,3.27,128,128,47.0,"[1.953125, 1.953125]"
116,Christie,03,P,True,GE,DSTE8,False,3.0,,61.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame3/,3.27,128,128,47.0,"[1.953125, 1.953125]"
117,Christie,04,P,True,GE,DSTE8,False,4.0,,61.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame4/,3.27,128,128,47.0,"[1.953125, 1.953125]"
118,Christie,05,P,True,GE,DSTE8,False,5.0,,61.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame5/,3.27,128,128,47.0,"[1.953125, 1.953125]"
119,Christie,06,P,True,GE,DSTE8,False,6.0,,61.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame6/,3.27,128,128,47.0,"[1.953125, 1.953125]"
120,Christie,07,C,False,GE,DSTE8,False,,,59.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Hoffman_CT_2-5mm_25cm/,3.75,512,512,61.0,"[0.488281, 0.488281]"
121,Christie,08,C,False,GE,DSTE8,False,,,60.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Hoffman_CT_3-27mm_AC_50cm/,3.75,512,512,47.0,"[0.976562, 0.976562]"
122,Christie,09,P,False,GE,DSTE8,False,,,62.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Standard_3D_CTAC_Iterative/,3.27,128,128,47.0,"[2.34375, 2.34375]"
123,Christie,10,P,False,GE,DSTE8,False,,,63.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Standard_3D_noAC_Iterative/,3.27,128,128,47.0,"[2.34375, 2.34375]"
124,Christie,11,C,False,GE,DSTE8,False,,,64.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Standard_CT Brain/,3.75,512,512,47.0,"[0.585938, 0.585938]"
125,Christie,12,P,False,GE,DSTE8,False,,,65.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Standard_CTAC Brain/,3.75,512,512,47.0,"[0.976562, 0.976562]"
126,Christie,13,P,True,GE,DSTE8,False,1.0,,66.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Standard_CTAC_2x20_128_30cm_2-14mm/Frame1/,3.27,128,128,47.0,"[2.34375, 2.34375]"
127,Christie,14,P,True,GE,DSTE8,False,2.0,,66.0,D:/Hoffman/_Christie/Hoffman_NoSkull2_2014_06_13/Standard_CTAC_2x20_128_30cm_2-14mm/Frame2/,3.27,128,128,47.0,"[2.34375, 2.34375]"
